Pos;Estado;Equipe;Pts;J;V;E;D;GP;GC;SG
1;Rio de Janeiro;Botafogo (C);79;38;23;10;5;59;29;+30
2;São Paulo;Palmeiras;73;38;22;7;9;60;33;+27
3;Rio de Janeiro;Flamengo;70;38;20;10;8;61;42;+19
4;Ceará;Fortaleza;68;38;19;11;8;53;39;+14
5;Rio Grande do Sul;Internacional;65;38;18;11;9;53;36;+17
6;São Paulo;São Paulo;59;38;17;8;13;53;43;+10
7;São Paulo;Corinthians;56;38;15;11;12;54;45;+9
8;Bahia;Bahia;53;38;15;8;15;49;49;0
9;Minas Gerais;Cruzeiro;52;38;14;10;14;43;41;+2
10;Rio de Janeiro;Vasco da Gama;50;38;14;8;16;43;56;-13
11;Bahia;Vitória;47;38;13;8;17;45;52;-7
12;Minas Gerais;Atlético Mineiro;47;38;11;14;13;47;54;-7
13;Rio de Janeiro;Fluminense;46;38;12;10;16;33;39;-6
14;Rio Grande do Sul;Grêmio;45;38;12;9;17;44;50;-6
15;Rio Grande do Sul;Juventude;45;38;11;12;15;47;59;-12
16;São Paulo;Red Bull Bragantino;44;38;10;14;14;44;48;-4
17;Paraná;Athletico Paranaense;42;38;11;9;18;40;46;-6
18;Santa Catarina;Criciúma;38;38;9;11;18;42;61;-19
19;Goiás;Atlético Goianiense;30;38;7;9;22;29;58;-29
20;Mato Grosso;Cuiabá;30;38;6;12;20;29;49;-20
